State,District,Clinic Name,Address,Latitude,Longitude,Google Maps Link
PERAK,Kampar,KK Kampar,"KK Kampar, Kampar, PERAK, Malaysia",4.3,101.15,"https://www.google.com/maps/search/?api=1&query=KK+Kampar,+Kampar,+PERAK,+Malaysia"
SELANGOR,Kuala Selangor,KK Kuala Selangor,"KK Kuala Selangor, Kuala Selangor, SELANGOR, Malaysia",3.35,101.25,"https://www.google.com/maps/search/?api=1&query=KK+Kuala+Selangor,+Kuala+Selangor,+SELANGOR,+Malaysia"
SELANGOR,Sabak Bernam,KK Sekinchan,"KK Sekinchan, Sabak Bernam, SELANGOR, Malaysia",3.5,101.1,"https://www.google.com/maps/search/?api=1&query=KK+Sekinchan,+Sabak+Bernam,+SELANGOR,+Malaysia"
SELANGOR,Gombak,KK Taman Ehsan,"KK Taman Ehsan, Gombak, SELANGOR, Malaysia",3.2167,101.5833,"https://www.google.com/maps/search/?api=1&query=KK+Taman+Ehsan,+Gombak,+SELANGOR,+Malaysia"
SELANGOR,Petaling,KK Puchong,"KK Puchong, Petaling, SELANGOR, Malaysia",3.0333,101.6167,"https://www.google.com/maps/search/?api=1&query=KK+Puchong,+Petaling,+SELANGOR,+Malaysia"
SELANGOR,Klang,KK Bandar Botanik,"KK Bandar Botanik, Klang, SELANGOR, Malaysia",2.9833,101.45,"https://www.google.com/maps/search/?api=1&query=KK+Bandar+Botanik,+Klang,+SELANGOR,+Malaysia"
SELANGOR,Hulu Langat,KK Bangi,"KK Bangi, Hulu Langat, SELANGOR, Malaysia",2.9,101.7833,"https://www.google.com/maps/search/?api=1&query=KK+Bangi,+Hulu+Langat,+SELANGOR,+Malaysia"
NEGERI SEMBILAN,Seremban,KK Nilai,"KK Nilai, Seremban, NEGERI SEMBILAN, Malaysia",2.8167,101.8,"https://www.google.com/maps/search/?api=1&query=KK+Nilai,+Seremban,+NEGERI+SEMBILAN,+Malaysia"
NEGERI SEMBILAN,Seremban,KK Sikamat,"KK Sikamat, Seremban, NEGERI SEMBILAN, Malaysia",2.7167,101.95,"https://www.google.com/maps/search/?api=1&query=KK+Sikamat,+Seremban,+NEGERI+SEMBILAN,+Malaysia"
NEGERI SEMBILAN,Jelebu,KK Jelebu,"KK Jelebu, Jelebu, NEGERI SEMBILAN, Malaysia",2.95,102.05,"https://www.google.com/maps/search/?api=1&query=KK+Jelebu,+Jelebu,+NEGERI+SEMBILAN,+Malaysia"
